macho_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,class
1.3321.195,3.5661,-4.6664069999999995,0.01181307,342.80300000000005,8399112.0,-0.00617284,-4.5485489999999995,367.4327,-30.894009999999998,7.930625999999999,0.068393866,1.8921965630000002,0.003181336,0.16742345,1.8683017640000001,-0.111,0.9973425090000001,16.71669148,0.45974382700000005,0,0,0.05800507,1.92847235,0.003484321,0.20075219100000002,1.681565028,-0.111,0.100093962,9.362828315,0.46057142100000004,0,0,6
1.3442.503,0.6780825,-5.4906809999999995,0.07281702,-464.8049,12457.09,0.47927070000000005,-5.527203,0.074959,-475.3261,78319.26,0.029882377,2.071556287,0.00257732,1.3101815509999999,1.5867138109999999,0.045,0.7044884290000001,186.2275998,0.452285676,0,0,0.022315297999999997,2.316093378,0.001488095,1.293948847,0.861744339,0.045,0.7044731790000001,114.034452,0.46545944,0,0,6
1.3442.1051,1.9015790000000001,-5.023236,0.02777909,55.55001,836656.3,1.461267,-5.087586,0.02387672,-167.6399,677949.0,0.050254069000000005,2.085077973,0.000883392,1.7771997,1.70440524,0.059000000000000004,0.598423833,216.8189298,0.458523911,0,0,0.036498592,2.145708584,0.0,1.456807168,1.273115705,0.059000000000000004,0.598385539,125.9849446,0.48665555200000005,1,0,6
1.3442.1107,3.52189,-4.882159,0.009616158,175.3673,6017509.0,2.544044,-4.934924,0.008854399,-122.87899999999999,5788428.0,0.055499815999999993,2.2056759880000003,0.0,1.935576252,1.0701814840000001,0.061,0.618465574,245.78411490000002,0.48306910299999994,1,0,0.040588554,2.059073531,0.0,1.946936859,1.535013716,0.061,0.618458077,127.132177,0.449306583,0,0,6
1.3442.1388,2.209908,-4.840315,0.04567692,486.2247,217526.8,1.539497,-5.0356760000000005,0.04997946,129.1853,225053.1,0.073223206,2.081818372,0.005597015,2.586349669,0.8985127940000001,0.21100000000000002,0.580067785,268.5991131,0.45789623700000004,1,0,0.058196529000000004,1.870641126,0.0,2.465443126,1.192677973,0.21100000000000002,0.5800355110000001,76.42531082,0.453632443,0,1,6
1.3443.26,0.28308130000000004,-8.245617,0.5650246,-632.7099,44860.53,0.22703890000000002,-8.498538,0.4176108,-556.5679,893953.9,0.01872794,1.9613608230000001,0.0,21.43482202,1.068165985,0.253,3.809342666,305.8232535,0.466840545,0,0,0.012395334,2.158086351,0.0,22.13656548,0.749963101,0.253,3.809342666,174.90684050000002,0.473160825,0,0,5
1.3443.30,0.39689050000000003,-8.090596000000001,0.30413559999999995,-599.4425,123515.7,-0.2466696,-8.315191,0.3479792,-638.0865,140037.7,0.01949029,2.063705665,0.0,21.56553339,1.0853511999999998,0.22699999999999998,3.146667042,305.23068739999997,0.448386985,1,0,0.012715018,2.178329066,0.0,21.91191358,0.8756125109999999,0.22699999999999998,3.148188101,328.571213,0.48143605899999997,0,0,5
1.3443.1313,2.6690009999999997,-4.853389,0.01468634,111.2434,953273.8,-0.9664767,-5.032075,0.04556632,-211.893,828082.7,0.053624382000000005,2.091090982,0.0,1.89318043,1.004815672,0.19,0.607153021,292.28846339999996,0.460977012,0,0,0.033979272000000005,2.114467525,0.0,1.869420448,1.45521236,0.19,0.37739774,99.11731376,0.48887524600000004,0,1,6
1.3443.1335,1.943438,-4.883343,0.05071063,364.7309,187264.7,0.9854976000000001,-4.9487190000000005,0.09668995,8.674287,96405.44,0.06582339,1.935746062,0.006578947,2.869635896,1.1460279309999999,0.068,0.450991262,307.63171780000005,0.45626114,0,0,0.04682041,1.8865371640000002,0.001636661,2.907890492,1.1089637479999999,0.068,0.451019613,99.67501166,0.480911985,0,0,6
1.3444.1187,0.9514831,-5.213081,0.04030719,-450.6253,204348.5,0.7867933000000001,-5.236279,0.03282185,-395.6693,431309.1,0.030129284,2.043343574,0.0,1.613560649,1.106929496,0.027999999999999997,0.423962959,240.74516400000002,0.443706934,0,0,0.024957292000000002,2.113123813,0.0,1.51639451,1.131693309,0.027999999999999997,0.423979746,102.7825177,0.45582550200000005,0,0,6
